region,crop_type,Year,Area (1000 Ha),Production (1000 Tons),Yield (T/Ha),sowing_date,harvest_date,avg_temp,total_precipitation,avg_solar_radiation,soil_type,avg_soil_moisture,,nitrgoen_level,phosphorous level,pottasium level
Yorkshire & the Humber,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,9.391666667,117.0166667,110.125,Loam,29,,90,7,93
Yorkshire & the Humber,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,9.391666667,108.2666667,115.3083333,Clay,66,,99,8,137
Yorkshire & the Humber,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,9.616666667,116.6916667,108.3,Sandy,59,,77,7,157
Yorkshire & the Humber,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,9.441666667,98.3,127.8416667,Silt,74,,82,8,128
Yorkshire & the Humber,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,9.4,125.125,118.5833333,Loam,35,,98,8,98
Yorkshire & the Humber,wheat,2021,1790,13988,7.8,20-11-2021,04-07-2022,9.65,137.0666667,119.9083333,Clay,64,,106,8,177
Yorkshire & the Humber,wheat,2022,1813,15540,8.6,20-10-2022,06-07-2023,9.341666667,116.5166667,119.8666667,Sandy,25,,76,8,98
Yorkshire & the Humber,wheat,2023,1719,13980,8.1,27-10-2023,12-07-2024,10.03333333,102.7666667,125.5666667,Silt,58,,76,10,125
Yorkshire & the Humber,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,9.391666667,117.0166667,110.125,Loam,47,,90,7,93
Yorkshire & the Humber,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,9.391666667,108.2666667,115.3083333,Clay,33,,99,8,137
Yorkshire & the Humber,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,9.616666667,116.6916667,108.3,Sandy,40,,77,7,157
Yorkshire & the Humber,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,9.441666667,98.3,127.8416667,Silt,58,,82,8,128
Yorkshire & the Humber,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,9.4,125.125,118.5833333,Loam,71,,98,8,98
Yorkshire & the Humber,barley,2021,1150,6961,6.1,20-11-2021,04-07-2022,9.65,137.0666667,119.9083333,Clay,41,,106,8,177
Yorkshire & the Humber,barley,2022,1116,7385,6.6,20-10-2022,06-07-2023,9.341666667,116.5166667,119.8666667,Sandy,26,,76,8,98
Yorkshire & the Humber,barley,2023,1137,6963,6.1,27-10-2023,12-07-2024,10.03333333,102.7666667,125.5666667,Silt,28,,76,10,125
East Midlands,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.20833333,95.925,65.425,Loam,51,,92,9,129
East Midlands,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.45833333,98.74166667,61.79166667,Clay,51,,95,7,97
East Midlands,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,10.45,103.7833333,60.575,Sandy,59,,103,10,79
East Midlands,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.35833333,115.925,81.11666667,Silt,50,,90,8,122
East Midlands,wheat,2020,1387,9658,7,08-10-2020,04-07-2021,10.61666667,123.9666667,77.34166667,Loam,75,,99,10,156
