region,crop_type,Year,Area (1000 Ha),Production (1000 Tons),Yield (T/Ha),sowing_date,harvest_date,avg_temp,total_precipitation,avg_solar_radiation,soil_type,avg_soil_moisture,nitrgoen_level,phosphorous level,pottasium level,growing_season_length,cumulative_precipitation
Yorkshire & the Humber,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,9.39,117.02,110.13,Loam,29,1.2,0.8,1.0,269,117.02
Yorkshire & the Humber,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,9.39,108.27,115.31,Clay,66,1.3,0.9,1.1,258,225.29
Yorkshire & the Humber,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,9.62,116.69,108.30,Sandy,59,1.4,1.0,1.2,259,341.98
Yorkshire & the Humber,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,9.44,98.30,127.84,Silt,74,1.5,1.1,1.3,259,440.28
Yorkshire & the Humber,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,9.40,125.13,118.58,Loam,35,1.6,1.2,1.4,269,565.41
Yorkshire & the Humber,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,9.39,117.02,110.13,Loam,47,1.2,0.8,1.0,269,117.02
Yorkshire & the Humber,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,9.39,108.27,115.31,Clay,33,1.3,0.9,1.1,258,225.29
Yorkshire & the Humber,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,9.62,116.69,108.30,Sandy,40,1.4,1.0,1.2,259,341.98
Yorkshire & the Humber,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,9.44,98.30,127.84,Silt,58,1.5,1.1,1.3,259,440.28
Yorkshire & the Humber,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,9.40,125.13,118.58,Loam,71,1.6,1.2,1.4,269,565.41
East Midlands,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.21,95.93,65.43,Loam,51,1.2,0.8,1.0,269,95.93
East Midlands,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.46,98.74,61.79,Clay,51,1.3,0.9,1.1,258,194.67
East Midlands,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,10.45,103.78,60.58,Sandy,59,1.4,1.0,1.2,259,298.45
East Midlands,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.36,115.93,81.12,Silt,50,1.5,1.1,1.3,259,414.38
East Midlands,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,10.62,123.97,77.34,Loam,75,1.6,1.2,1.4,269,538.35
East Midlands,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.46,95.93,65.43,Loam,69,1.2,0.8,1.0,269,95.93
East Midlands,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.45,98.74,61.79,Clay,30,1.3,0.9,1.1,258,194.67
East Midlands,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,10.36,103.78,60.58,Sandy,36,1.4,1.0,1.2,259,298.45
East Midlands,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.62,115.93,81.12,Silt,60,1.5,1.1,1.3,259,414.38
East Midlands,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,10.20,123.97,77.34,Loam,62,1.6,1.2,1.4,269,538.35
West Midlands,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,12.68,9.95,98.74,Loam,62,1.2,0.8,1.0,269,9.95
West Midlands,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,11.98,10.27,103.78,Clay,42,1.3,0.9,1.1,258,20.22
West Midlands,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,13.54,10.28,115.93,Sandy,54,1.4,1.0,1.2,259,30.50
West Midlands,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,12.83,10.03,123.97,Silt,40,1.5,1.1,1.3,259,40.53
West Midlands,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,13.93,10.42,106.33,Loam,69,1.6,1.2,1.4,269,50.94
West Midlands,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,12.68,9.95,103.78,Loam,72,1.2,0.8,1.0,269,9.95
West Midlands,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,11.98,10.27,115.93,Clay,26,1.3,0.9,1.1,258,20.22
West Midlands,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,13.54,10.28,123.97,Sandy,59,1.4,1.0,1.2,259,30.50
West Midlands,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,12.83,10.03,106.33,Silt,25,1.5,1.1,1.3,259,40.53
West Midlands,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,13.93,10.42,93.62,Loam,52,1.6,1.2,1.4,269,50.94
East of England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.70,49.02,136.78,Loam,58,1.2,0.8,1.0,269,49.02
East of England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.93,50.36,130.76,Clay,74,1.3,0.9,1.1,258,99.38
East of England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,11.02,46.39,151.34,Sandy,34,1.4,1.0,1.2,259,145.77
East of England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.78,52.33,144.80,Silt,60,1.5,1.1,1.3,259,198.10
East of England,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,11.23,58.09,150.92,Loam,27,1.6,1.2,1.4,269,256.19
East of England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.70,49.02,136.78,Loam,68,1.2,0.8,1.0,269,49.02
East of England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.93,50.36,130.76,Clay,43,1.3,0.9,1.1,258,99.38
East of England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,11.02,46.39,151.34,Sandy,56,1.4,1.0,1.2,259,145.77
East of England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.78,52.33,144.80,Silt,51,1.5,1.1,1.3,259,198.10
East of England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,11.23,58.09,150.92,Loam,70,1.6,1.2,1.4,269,256.19
South East England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.78,60.82,138.63,Loam,68,1.2,0.8,1.0,269,60.82
South East England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,11.00,60.51,137.80,Clay,67,1.3,0.9,1.1,258,121.33
South East England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,11.13,63.24,154.46,Sandy,28,1.4,1.0,1.2,259,184.57
South East England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.84,71.56,144.26,Silt,31,1.5,1.1,1.3,259,256.13
South East England,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,11.38,75.03,152.52,Loam,28,1.6,1.2,1.4,269,331.16
South East England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.78,60.82,138.63,Loam,72,1.2,0.8,1.0,269,60.82
South East England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,11.00,60.51,137.80,Clay,69,1.3,0.9,1.1,258,121.33
South East England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,11.13,63.24,154.46,Sandy,29,1.4,1.0,1.2,259,184.57
South East England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.84,71.56,144.26,Silt,49,1.5,1.1,1.3,259,256.13
South East England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,11.38,75.03,152.52,Loam,35,1.6,1.2,1.4,269,331.16
South West England,wheat,2016,1823,14383,7.9,08-10-2016,04-07-2017,10.21,95.93,126.78,Loam,62,1.2,0.8,1.0,269,95.93
South West England,wheat,2017,1792,14837,8.3,20-10-2017,04-07-2018,10.46,98.74,119.79,Clay,59,1.3,0.9,1.1,258,194.67
South West England,wheat,2018,1748,13555,7.8,20-10-2018,06-07-2019,10.45,103.78,135.42,Sandy,70,1.4,1.0,1.2,259,298.45
South West England,wheat,2019,1795,15600,8.7,27-10-2019,12-07-2020,10.36,115.93,128.25,Silt,29,1.5,1.1,1.3,259,414.38
South West England,wheat,2020,1387,9658,7.0,08-10-2020,04-07-2021,10.62,123.97,139.28,Loam,53,1.6,1.2,1.4,269,538.35
South West England,barley,2016,1122,6655,5.9,08-10-2016,04-07-2017,10.21,95.93,126.78,Loam,43,1.2,0.8,1.0,269,95.93
South West England,barley,2017,1177,7169,6.1,20-10-2017,04-07-2018,10.46,98.74,119.79,Clay,25,1.3,0.9,1.1,258,194.67
South West England,barley,2018,1138,6510,5.7,20-10-2018,06-07-2019,10.45,103.78,135.42,Sandy,27,1.4,1.0,1.2,259,298.45
South West England,barley,2019,1162,8048,6.9,27-10-2019,12-07-2020,10.36,115.93,128.25,Silt,43,1.5,1.1,1.3,259,414.38
South West England,barley,2020,1388,8117,5.8,08-10-2020,04-07-2021,10.62,123.97,139.28,Loam,42,1.6,1.2,1.4,269,538.35
